1,512,539
2,512,539
3,513,540
4,516,543
5,517,544
6,518,545
7,519,546
8,519,546
9,519,546
10,519,546
11,519,546
12,519,546
13,519,546
14,519,546
15,519,546
16,519,546
17,519,546
18,519,546
19,519,546
20,519,546
21,519,546
22,519,546
23,519,546
24,514,541
25,504,531
26,495,522
27,488,515
28,484,511
29,480,507
30,477,504
31,474,501
32,470,477
33,465,472
34,459,486
35,451,478
36,446,473
37,441,468
38,436,463
39,430,457
40,426,453
41,422,449
42,418,445
43,414,441
44,410,437
45,407,434
46,405,432
47,401,428
48,396,423
49,390,417
50,383,410
51,378,405
52,373,400
53,368,395
54,364,391
55,359,386
56,355,382
57,352,379
58,348,375
59,342,369
60,334,361
61,329,356
62,322,349
63,316,342
64,311,338
65,305,332
66,299,326
67,294,321
68,286,313
69,276,303
70,269,296
71,258,285
72,252,279
73,245,272
74,236,264
75,231,258
76,225,252
77,227,254
78,234,261
79,241,268
80,250,277
81,257,284
82,265,292
83,272,299
84,279,306
85,283,310
86,290,317
87,294,321
88,295,322
89,293,320
90,289,316
91,283,310
92,274,301
93,262,289
94,254,281
95,244,271
96,238,265
97,231,258
98,224,251
99,218,245
100,213,240
101,207,234
102,201,228
103,198,225
104,194,221
105,190,217
106,187,214
107,182,209
108,181,208
109,179,206
110,174,201
111,167,194
112,160,187
113,154,181
114,149,176
115,146,173
116,152,179
117,154,181
118,151,178
119,146,173
120,145,172
121,146,173
122,143,170
123,137,164
124,130,157
125,124,151
126,120,157
127,115,142
128,110,137
129,106,133
130,102,129
131,99,126
132,94,121
133,91,118
134,86,113
135,85,112
136,82,109
137,79,106
138,79,106
139,78,105
140,78,105
141,77,104
142,76,103
143,75,102
144,74,101
145,74,101
146,72,99
147,72,99
148,70,97
149,67,94
150,64,91
151,61,88
152,58,85
153,54,81
154,54,81
155,58,85
156,65,92
157,73,100
158,80,107
159,91,118
160,100,127
161,106,133
162,116,140
163,110,137
164,103,130
165,99,126
166,96,123
167,89,116
168,86,113
169,84,111
170,85,112
